,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
285,356,,0.4381,0.60857,0.591758333,0.650169444,0.614193333,0.549491667,0.4497
286,464,,,0.59988,0.5887,0.604026667,0.5471,0.633266667,
287,200,,,0.53146,0.5356,0.632066667,0.616373333,0.724733333,
288,232,,,0.560233333,0.263333333,,,0.843166667,0.630537778
289,204,,,0.5562,0.447509524,0.47732,0.623166667,0.0289,
290,86,,,,0.503266667,0.47204,0.510283333,0.7751,0.726613333
291,404,,0.5654,0.623880556,0.6529,0.62115,0.6047,0.5364,0.6265
292,228,,,,0.577483333,0.56907,0.48015,0.418106667,0.3977
293,400,,,0.6631,0.6409,,,0.281,0.701033333
294,243,,,0.50844,0.59692381,0.716382143,0.7215,,
295,153,,,0.63845,0.690394444,0.448653333,0.730314286,0.72775,
296,202,,,,0.626853333,0.696690476,0.643083333,0.692426667,
297,217,,,,0.497266667,,0.720066667,0.508466667,0.5949
298,476,,,0.529866667,0.50515,0.414433333,,0.605366667,
299,185,,,,0.654783333,0.38233,0.428426667,0.6704,
300,166,,,,0.551,,,,0.57
301,482,,0.566,0.53959,0.5153,0.4877,,0.62492,
302,529,,,,,0.4678,0.65469,0.667210714,0.778146667
303,535,,0.6232,0.644573333,,,,0.304633333,
304,110,,,0.371984444,0.43638,0.5332,0.4966,0.6703,0.6492
305,410,,,0.677,0.60225,0.57715,0.567366667,0.687583333,0.710266667
306,551,,,0.47464,0.588466667,0.856,,,
307,458,,0.2111,,,,,,0.576152381
308,522,,,,0.0265,0.8017,0.678013333,,
309,395,,,0.514369444,0.576586111,0.409233333,0.501042857,0.68331,0.732433333
310,499,,0.6572,0.5359,,,0.630283333,,0.4806
311,17,,0.6616,0.529733333,0.420133333,0.537933333,,0.66929,
312,139,,,,0.659573333,0.607622222,0.633308889,0.571641667,0.557653571
313,390,,,0.540226667,0.529110714,0.602019048,0.56105,,
314,114,,,,,0.643153333,0.664433333,0.485873333,
315,172,,,0.62089,0.62375,0.59289,0.50651,0.5011,
316,506,,0.443466667,0.5948,0.5701,0.6881,0.756166667,,
317,213,,,0.506983333,0.63805,,,,
318,124,,,,,,0.6583,0.5814,0.608961905
319,40,,,,0.50175,0.66204,0.534153571,0.486716667,0.4329
320,446,,,,0.633263889,0.55954,0.689875,,
321,59,,,0.6622,0.6053,,0.7211,0.597,0.689441667
322,486,,,0.597566667,0.659007143,0.544933333,0.682582143,0.691,
323,363,,0.537733333,0.574663889,0.58589,0.32215,0.61645,0.719033333,0.71785
324,323,,0.5363,,0.63955,0.623566667,,,0.653566667
325,219,,,0.58502381,0.58287,0.674342857,0.60049,0.60714,
326,478,,,0.60426,0.67775,0.61284,0.7286,0.64585,0.71987619
327,44,,0.3045,0.538593333,0.5753,0.550533333,0.599766667,,
328,387,,,0.63834,0.494292857,0.450833333,0.57555,0.64904,
329,542,,,0.607266667,0.604028571,0.6591,,,0.741466667
330,270,,,0.689666667,0.5935,0.5646,0.724966667,0.69409,0.7641
331,333,,0.5804,0.55308,0.70985,0.606666667,0.6514,0.416,0.693097222
332,162,,,0.493083333,0.57812381,0.5822,0.6944,0.683819048,
333,304,,0.469328571,0.515593333,0.410002222,0.53985,,,
334,180,,,0.5222,0.544633333,,0.5189,,
335,543,,,0.573633333,0.568895238,0.649433333,0.5754,0.517986667,
336,223,,,,0.45314,0.43677,0.49418,0.54902381,0.40874
337,383,,,,,0.6811,,0.717646429,
338,515,,,0.4798,0.59507,0.60147,0.646371429,0.633133333,
339,422,,0.2909,,0.50181,0.614486667,0.559157143,0.601257143,0.827566667
340,8,,,,,,,0.6001,0.55036
341,24,,0.139566667,,,0.651383333,0.634378571,,
342,281,,,,0.484933333,,0.5233,0.745833333,0.554566667
343,448,,,0.58089,0.646173333,0.67523,0.69787,0.5294,0.603646667
344,227,,,0.524306667,0.5994,0.5411,,,
345,28,,0.4768,0.614,0.548186667,0.3972,0.5837,0.53263,0.565016667
346,454,,0.6706,0.6377,0.56177619,0.619408333,0.574192857,0.601733333,0.70437
347,332,,0.413795238,0.487626667,0.635827778,,,,
348,179,,,,0.1458,,,0.467066667,0.4536
349,55,,,0.365,0.518853333,0.552573333,0.639614286,0.62779,
350,43,,0.421,0.566832143,0.586342857,0.6379,0.5967,0.7098,
351,54,,,0.58762,0.52345,0.494533333,0.4057,,0.528033333
352,13,,,0.4949,0.53585,0.7913,,,
353,145,,,0.62225,0.515752381,0.421466667,0.58019,0.722610714,
354,175,,,0.71529,0.68737619,0.635604762,0.612803571,0.66375,0.717505556
355,536,,,,0.694842857,0.643,0.728885714,0.713519048,
356,135,,,0.6192,0.47839,0.636,0.3751,,0.6853
357,30,,0.53543,0.496763889,0.536713889,0.537797222,0.64046,0.02,
358,52,,,0.6899,0.7484,0.629666667,,,0.685973333
359,502,,,0.513,0.534452381,0.580261905,0.513707143,0.594563889,0.747533333
360,154,,,,0.6862,0.61775,0.547582222,0.621166667,0.622827473
361,434,,,0.6578,0.607928571,0.529853333,0.677133333,,
362,538,,0.4304,0.56554,0.575083333,0.594566667,,,0.523797222
363,251,,,0.574433333,0.597032143,0.5835,0.510966667,0.5533,0.70472
364,288,,,0.634217778,0.646033333,0.598653333,0.605992857,0.605503571,
365,300,,,0.36365,0.59672,,,,
366,50,,,0.602692857,0.637207143,0.60423,0.68207,0.652733333,0.756928889
367,3,,,0.497066667,0.5278,0.5284,0.6368,0.626016667,0.686933333
368,298,,,0.4099,0.372513333,0.500726667,0.576416667,,
369,62,,0.523466667,0.560513333,0.615206667,0.611228571,0.6796,0.62293,0.646733333
370,11,,,,0.593591667,0.544809524,0.0307,,
371,413,,0.3476,0.41155,0.61795,0.519716667,,0.5804,0.616966667
372,444,,,0.51784,0.592247619,0.678166667,0.614183333,0.703,
373,170,,,0.57623,0.52516,0.547983333,,,0.459973333
374,49,,0.1469,0.315716667,,0.48114,0.565204762,0.621390476,0.619725
375,375,,,0.5432,0.6582,0.575226667,0.619896429,0.542283333,0.6633625
376,365,,,0.6316,0.4963,0.619133333,,0.5724,0.5592
377,544,,,0.177133333,0.51171,0.574266667,0.48998,0.544782222,0.610019048
378,229,,0.61864,0.486469444,0.537566667,0.467983333,0.56454,,
379,532,,,0.610132143,0.67635,0.524309524,0.733802778,,
380,415,,,0.529966667,0.654286667,0.688466667,0.566133333,0.722366667,0.72057
381,487,,,,,0.6094,0.5352,,
382,336,,,0.71015,0.593186667,0.600783333,0.611303571,0.587346667,
383,393,,0.6418,0.576953333,0.58181,0.613266667,0.739833333,0.774,
384,197,,,0.1278,0.572433333,0.482766667,0.5598,0.6211,0.6415
385,555,,,,0.595733333,,0.5273,,
386,528,,,0.480233333,0.59475,0.594557143,0.65175,0.67753,
387,305,,,0.51745,0.5845,0.5801,0.577733333,0.63887,0.7275
388,503,,,0.442011111,0.625275,0.598263889,0.529052381,0.495147619,0.569533333
389,420,,0.553766667,0.630938889,0.626244444,0.557066667,0.75968,,
390,368,,,0.448833333,0.545758333,0.589313333,0.5118,0.746308333,0.74207
391,307,,,0.56216,0.601275,0.2709,0.3888,,0.560066667
392,320,,,0.6296,0.633709524,0.796585714,0.760966667,,
393,47,,0.3943,0.452680952,0.533185714,0.589033333,0.529866667,0.5393,
394,155,,0.586,0.51184,0.4697,0.284366667,0.404693333,0.4237,
395,313,,,0.5826,0.55376,0.593946429,0.649873333,,
396,268,,,,0.40608,0.58108,0.6181,0.6654,0.566924444
397,128,0.6401,0.57431,0.6226,,,0.6203,0.71161,0.751562121
398,94,,0.5298,0.5881,0.56492381,0.601266667,0.615,0.744428571,
399,65,,,0.237283333,0.401046429,0.670210714,0.7058,,
400,132,,0.3683,0.51705,0.6543,,0.6082,,0.553966667
401,492,,,0.559253333,0.55118,0.56356,0.5492,0.755016667,0.790163889
402,477,,,0.569516667,0.5732,0.733166667,0.664333333,,
403,445,,,0.614988889,0.621572222,0.3915,,,
404,559,,,0.644480556,0.749768889,0.761057143,,,
405,325,,,,,,0.512642857,,
406,206,,,0.4601,0.62809,0.497783333,0.504266667,0.4697,0.515016667
407,4,,,0.6401,0.64139,0.517714286,0.637596429,0.722189286,
408,433,,,0.5585,0.6075,0.4664,0.606383333,0.5009,0.7231
409,25,,,0.558977778,0.500886111,0.61444,0.57704,0.583466667,0.664975
410,191,,,0.496933333,0.50137,0.569585714,0.510533333,,
411,279,,,0.5438,0.54592381,0.519519048,0.407133333,0.62691,
412,163,,,0.7502,0.641335714,0.665632143,0.606588889,0.705633333,
413,193,,0.3364,0.552195238,0.598286667,0.637633333,,,0.497266667
414,416,,,0.5886,,,0.555,0.65287,
415,230,,0.4894,0.391775,0.38268,0.48204,0.56597,,
