,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
292,561,,,,0.4137,0.35082,0.316733333,0.56,0.52875
293,254,,0.2845,0.357573333,0.396197222,0.188367857,0.233203571,,
294,484,,,,0.381680556,0.37125,0.420671429,0.279726667,
295,199,,0.2998,0.380360714,0.18218,0.229333333,0.284,0.397366667,0.2539
296,143,,,,0.286,0.35394,0.312028571,0.552466667,0.432233333
297,385,,0.24225,,0.1627,,,,
298,500,,,0.368286667,0.42922,0.2087,0.410366667,0.5534,0.5703
299,4,,,0.6896,0.34267,0.213871429,0.427117857,0.536314286,
300,392,,0.49808,0.371219048,0.3937,0.38662,0.370433333,0.6979,0.447328205
301,460,,,,0.24729,0.18697,0.32979,0.18041,0.366933333
302,15,,,0.32515,0.3815,0.360538095,0.2191,0.24136,0.586133333
303,373,,,0.576,0.292957143,0.34974,0.396761905,0.37987,0.43806
304,306,,,0.318775,0.237333333,0.451813333,0.476419048,,
305,546,,0.313233333,0.429973333,0.5232,0.290983333,,,
306,145,,,0.493566667,0.382342857,0.16942,0.29376,0.371110714,
307,349,,,,0.1987,0.461685714,0.519771429,0.446742857,
308,13,,,0.3944,0.2972,0.649,,,
309,434,,,0.5994,0.505785714,0.347613333,0.481,,
310,469,,,0.5292,0.203222222,0.256442857,0.476328889,0.1904,
311,65,,,0.188983333,0.339039286,0.570946429,0.6646,,
312,457,,0.505,0.413902778,0.355083333,0.34479,0.2079,,
313,79,,0.4545,0.359121429,0.403790476,0.32183,0.242306667,0.467914286,
314,272,,,0.2366,0.229088889,0.529078571,,,
315,450,,,0.40463,0.440057143,,0.13817,0.1717,0.239866667
316,524,,0.449766667,,,0.39764,0.246633333,,
317,475,,,,0.3699,0.268033333,0.4482,,0.507025
318,229,,0.38925,0.3198,0.251833333,0.175116667,0.35628,,
319,376,,,,0.3375,0.353313333,0.269342857,0.6199,0.45756
320,227,,,0.32554,0.5356,0.2365,,,
321,189,,,0.3517,0.286416667,0.423033333,0.22597,0.35396,
322,436,,,,0.359986667,0.251619444,,,
323,196,,0.6735,0.450686667,0.2983,0.2603,0.496442857,0.268766667,0.366066667
324,438,,,0.342433333,0.332980556,0.462447222,0.548866667,,
325,403,,,0.358338095,0.43651,0.360480952,0.295,0.3416,0.6309
326,42,,,0.433816667,0.428973333,0.432466667,0.393053571,0.39626,
327,559,,,0.372691667,0.370846667,0.3982,,,
328,243,,,0.264646667,0.349261905,0.537385714,0.6,,
329,391,,,,0.259084444,0.434853333,0.330247222,0.280547619,0.401073333
330,48,,,0.345296429,0.213913333,0.491583333,0.528833333,0.53034,
